Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
WT V13 3 ThreeD_rfa 0 221 75 11.4089 0 0 0 
WT V13 3 X 0 169 77.8014 11.4089 0.297953 0.0792577 0.696932 
WT V13 3 Y 0 203 82.5511 11.4089 0.317833 0.105576 1.38581 
WT V13 4 ThreeD_rfa 0 156 102 13.2408 0 0 0 
WT V13 4 X 0 158 0 13.2408 0 0 0 
WT V13 4 Y 0 162 0 13.2408 0 0 0 
WT V14 1 ThreeD_rfa 0 151 120 6.81757 0 0 0 
WT V14 1 X 0 169 107.235 6.81757 0.29711 0.113434 13.4718 
WT V14 2 ThreeD_rfa 0 130 0 0 0 0 0 
WT V14 2 X 0 129 118.288 0 0.573885 0.178737 0 
WT V14 2 Y 0 130 105.986 0 0.245295 0.0425495 0 
WT V14 3 ThreeD_rfa 0 129 85 2.31531 0 0 0 
WT V14 3 X 0 129 105.277 2.31531 0.166329 0.0118071 4.00168 
WT V14 3 Y 0 128 98.5945 2.31531 0.254228 0.0221207 3.42839 
WT V14 4 ThreeD_rfa 0 128 156 41.8374 0 0 0 
WT V14 4 X 0 133 0 41.8374 0 0 0 
WT V14 4 Y 0 136 0 41.8374 0 0 0 
WT V14 5 ThreeD_rfa 0 141 0 0 0 0 0 
WT V14 5 X 0 134 0 0 0 0 0 
WT V14 5 Y 0 132 0 0 0 0 0 
WT V15 1 ThreeD_rfa 0 122 86 10.5892 0 0 0 
WT V15 1 X 0 146 91.4576 10.5892 0.487958 0.0920328 1.25647 
WT V15 1 Y 0 151 89.3426 10.5892 0.331965 0.149869 4.08353 
WT V15 2 ThreeD_rfa 0 108 77 6.3976 0 0 0 
WT V15 2 X 0 113 80.2364 6.3976 0.179188 0.124468 9.73226 
WT V15 2 Y 0 114 70.9042 6.3976 0.423891 0.175002 1.52668 
WT V15 3 ThreeD_rfa 0 104 125 18.7313 0 0 0 
WT V15 3 X 0 102 107.523 18.7313 0.515762 0.150526 3.4349 
WT V15 3 Y 0 115 106.709 18.7313 0.32006 0.08042 2.51157 
